lat,lon,aed_lat,aed_lon,distance,type,city,density
51.16878,4.39032,51.1696791,4.3890977,188.0,card,Antwerpen,1.8194811074714978
51.28254,4.42069,51.28476445,4.42316345,334.0,card,Antwerpen,1.502036262167293
51.20616,4.43024,51.2060583,4.4323018,171.0,card,Antwerpen,2.6276867250582137
51.28173,4.42503,51.28476445,4.42316345,576.0,card,Antwerpen,1.4977906087883546
51.19972,4.4282,51.200342,4.4290278,102.0,card,Antwerpen,2.581348976177133
51.21004,4.47366,51.210214,4.4746825,70.0,card,Antwerpen,2.4975559845300213
51.22735,4.47562,51.2270192,4.474984,58.0,card,Antwerpen,2.324170366918744
51.21954,4.42074,51.2189744,4.4209031,67.0,card,Antwerpen,2.6422958917165964
51.19852,4.45957,51.1959827,4.4597787,303.0,card,Antwerpen,2.5489520501054783
51.24972,4.42061,51.2487917,4.420696,216.0,card,Antwerpen,2.277323664831569
51.23326,4.46101,51.2336746,4.4636919,192.0,card,Antwerpen,2.3451212809729025
51.23064,4.41012,51.23219081162179,4.409253399494537,242.0,card,Antwerpen,2.584326823486144
51.22749,4.44819,51.2268403,4.4491289,104.0,card,Antwerpen,2.5035232147038093
51.3465,4.32323,51.34718757164413,4.322521011725347,125.0,card,Antwerpen,0.5300600453755633
51.17345,4.43343,51.1726789,4.4274853,480.0,card,Antwerpen,2.168374204202498
51.22879,4.39171,51.2262385,4.3852664,719.0,card,Antwerpen,2.5862182235773608
51.21395,4.40432,51.21458,4.4050147,111.0,card,Antwerpen,2.627273913574145
51.22221,4.41047,51.2218731,4.4106836,100.0,card,Antwerpen,2.6350366845215656
51.17671,4.37033,51.1730828,4.3647529,647.0,card,Antwerpen,1.8540257154277062
51.21905,4.39735,51.21829885,4.3969491000000005,104.0,card,Antwerpen,2.619829232188878
51.29342,4.44001,51.2943295,4.4401182,109.0,card,Antwerpen,1.1286961155691928
51.2258,4.41454,51.226107748180944,4.414925850184525,76.0,card,Antwerpen,2.6173883030223255
51.21069,4.40074,51.2117446,4.3997805,202.0,card,Antwerpen,2.602751524572527
51.20629,4.41896,51.2083908,4.4212001,329.0,card,Antwerpen,2.619720592079318
51.23071,4.44295,51.2303027,4.4418148,175.0,card,Antwerpen,2.4903158146685884
51.27205,4.31874,51.2740817,4.3269899,744.0,card,Antwerpen,1.850583450138484
51.21371,4.40718,51.2152645,4.4075721,230.0,card,Antwerpen,2.632803553199441
51.21651,4.4173,51.217589,4.41777,124.0,card,Antwerpen,2.647955590281293
51.22788,4.46478,51.22698125,4.46644775,243.0,card,Antwerpen,2.3979666828951904
51.24529,4.42251,51.2469698,4.42315765,231.0,card,Antwerpen,2.353630300752412
51.20457,4.4162,51.2037483,4.4153398,225.0,card,Antwerpen,2.602794046246972
51.22817,4.42841,51.2271852,4.4249055,286.0,card,Antwerpen,2.574694684177082
51.35954,4.32813,51.1967334,4.4294545,1000.0,card,Antwerpen,0.37577710989574015
51.23078,4.41111,51.23219081162179,4.409253399494537,293.0,card,Antwerpen,2.5822840611247404
51.24657,4.43133,51.2464255,4.43113625,24.0,card,Antwerpen,2.2892632117257716
51.1743,4.40661,51.1738834,4.4053629,103.0,card,Antwerpen,2.060836653193714
51.20036,4.46192,51.19992339798538,4.457418010930297,336.0,card,Antwerpen,2.550940867883299
51.20723,4.3997,51.2058553,4.398416,252.0,card,Antwerpen,2.5750454682633777
51.1627,4.39083,51.1624412,4.3913895,215.0,card,Antwerpen,1.6705381165073678
51.1732,4.42873,51.1726789,4.4274853,151.0,card,Antwerpen,2.145415610134521
51.20037,4.43283,51.2015719,4.4346337,253.0,card,Antwerpen,2.590928336273239
