lat,lon,aed_lat,aed_lon,distance,type,city
51.20831,4.40405,51.2080966,4.4031172,70.0,card,Antwerpen
51.20434,4.47954,51.2043408,4.479234,21.0,card,Antwerpen
51.21157,4.39724,51.2118231,4.3980983,120.0,card,Antwerpen
51.26052,4.42289,51.2607652,4.4213081,136.0,card,Antwerpen
51.19039,4.44242,51.189958950000005,4.4431372,76.0,card,Antwerpen
51.26119,4.41964,51.2608228,4.4193016,65.0,card,Antwerpen
51.2296,4.46419,51.229211250000006,4.4636359,74.0,card,Antwerpen
51.23614,4.43662,51.23777,4.4360305,207.0,card,Antwerpen
51.22018,4.37886,51.2203932,4.3784099,59.0,card,Antwerpen
51.17982,4.42274,51.1778636,4.4228852,287.0,card,Antwerpen
51.18726,4.37402,51.1877081,4.3733319,67.0,card,Antwerpen
51.21655,4.36867,51.22002315,4.3680366500000005,637.0,card,Antwerpen
51.2796,4.44264,51.28151242691501,4.435450495268708,675.0,card,Antwerpen
51.22586,4.45715,51.2254086,4.4559703,95.0,card,Antwerpen
51.20865,4.40106,51.2085373,4.4026391,170.0,card,Antwerpen
51.18817,4.38732,51.1863431,4.3898146,388.0,card,Antwerpen
51.34492,4.28591,51.3448238,4.2863967,35.0,card,Antwerpen
51.18905,4.37705,51.1894763,4.3775119,57.0,card,Antwerpen
51.21049,4.41416,51.2102881,4.4152301,79.0,card,Antwerpen
51.27935,4.43787,51.28151242691501,4.435450495268708,401.0,card,Antwerpen
51.19849,4.403,51.1993625,4.4010521,172.0,card,Antwerpen
51.24681,4.4315,51.2464255,4.43113625,54.0,card,Antwerpen
51.22982,4.44247,51.2303027,4.4418148,57.0,card,Antwerpen
51.18916,4.43192,51.1878307,4.431719,240.0,card,Antwerpen
51.24509,4.44701,51.2423893,4.444243,451.0,card,Antwerpen
51.2151,4.4,51.21468305,4.40017395,49.0,card,Antwerpen
51.18296,4.35184,51.180488499999996,4.34646255,483.0,card,Antwerpen
51.25592,4.36378,51.1967334,4.4294545,1000.0,card,Antwerpen
51.24165,4.44166,51.2425057,4.4417027,149.0,card,Antwerpen
51.20436,4.46095,51.2066951,4.4629763,433.0,card,Antwerpen
51.21759,4.42049,51.2169691,4.4207019,84.0,card,Antwerpen
51.21612,4.41441,51.21562910212165,4.413898151113941,60.0,card,Antwerpen
51.28724,4.38605,51.29199862800334,4.378723920521925,946.0,card,Antwerpen
51.18632,4.38723,51.18412160476319,4.3889368059223095,310.0,card,Antwerpen
51.18602,4.45173,51.1896915,4.4499791,710.0,card,Antwerpen
51.27779,4.43052,51.2805456,4.4302736,473.0,card,Antwerpen
51.17598,4.36742,51.1730828,4.3647529,407.0,card,Antwerpen
51.22348,4.4006,51.2236042,4.4006449,13.0,card,Antwerpen
51.22283,4.42403,51.2232079,4.4273649,235.0,card,Antwerpen
51.19845,4.45785,51.19992339798538,4.457418010930297,198.0,card,Antwerpen
51.20786,4.39206,51.2066892,4.3906138,191.0,card,Antwerpen
51.20392,4.42533,51.20348285,4.4234122,182.0,card,Antwerpen
51.20155,4.39406,51.2023478,4.3915901,406.0,card,Antwerpen
51.2445,4.44937,51.2423893,4.444243,490.0,card,Antwerpen
51.20353,4.40106,51.2034051,4.4027287,155.0,card,Antwerpen
51.25842,4.43994,51.2571674,4.439355000000001,175.0,card,Antwerpen
51.17458,4.34587,51.1751276,4.3473573,118.0,card,Antwerpen
51.23279,4.37746,51.2316421,4.378742,205.0,card,Antwerpen
51.2449,4.3845,51.1967334,4.4294545,1000.0,card,Antwerpen
51.27278,4.40952,51.2713002,4.4119769,311.0,card,Antwerpen
51.20271,4.46603,51.2015921,4.467095,203.0,card,Antwerpen
51.2233,4.41153,51.2232215,4.4113175,11.0,card,Antwerpen
51.18335,4.43954,51.1831609,4.4385825,131.0,card,Antwerpen
51.34555,4.3204,51.3449382,4.3212671,109.0,card,Antwerpen
51.17842,4.374,51.18061215,4.37649475,399.0,card,Antwerpen
51.18886,4.43547,51.1878134,4.436941,321.0,card,Antwerpen
51.16214,4.36006,51.160608550000006,4.3673167500000005,732.0,card,Antwerpen
51.20701,4.40193,51.2080966,4.4031172,148.0,card,Antwerpen
51.29032,4.43659,51.2916238,4.4427988,462.0,card,Antwerpen
51.2631,4.41752,51.2608228,4.4193016,321.0,card,Antwerpen
51.2221,4.46727,51.22305655135222,4.465017050030402,262.0,card,Antwerpen
51.18822,4.37453,51.1877081,4.3733319,103.0,card,Antwerpen
51.22669,4.3837,51.2262385,4.3852664,154.0,card,Antwerpen
51.17973,4.35853,51.17852140197685,4.3594052668162915,153.0,card,Antwerpen
51.22637,4.37552,51.2263971,4.3781093,183.0,card,Antwerpen
51.18293,4.35894,51.1837666,4.3589953,133.0,card,Antwerpen
51.23376,4.45589,51.2320102,4.4537381,354.0,card,Antwerpen
51.20283,4.40777,51.2015285,4.4060666,204.0,card,Antwerpen
51.25093,4.39536,51.2519719,4.3937929,180.0,card,Antwerpen
51.22131,4.42184,51.221757,4.4204917,143.0,card,Antwerpen
51.25058,4.43506,51.251397499999996,4.4373439999999995,266.0,card,Antwerpen
51.20332,4.39469,51.2055777,4.3969526,294.0,card,Antwerpen
51.15685,4.37039,51.1560493,4.3733119,302.0,card,Antwerpen
51.21836,4.38428,51.2189229,4.3809554,306.0,card,Antwerpen
51.2124,4.43149,51.21165272636832,4.428723042351662,257.0,card,Antwerpen
51.21446,4.42063,51.2149228,4.4205059,52.0,card,Antwerpen
51.19001,4.37626,51.1894763,4.3775119,126.0,card,Antwerpen
51.23321,4.46162,51.2336746,4.4636919,199.0,card,Antwerpen
51.20418,4.42255,51.20348285,4.4234122,169.0,card,Antwerpen
51.23269,4.46018,51.2336746,4.4636919,338.0,card,Antwerpen
51.18301,4.36378,51.1845237,4.3643895,222.0,card,Antwerpen
51.26015,4.42169,51.2607652,4.4213081,96.0,card,Antwerpen
51.21452,4.41492,51.21562910212165,4.413898151113941,181.0,card,Antwerpen
51.1799,4.4278,51.1796025,4.4289095,73.0,card,Antwerpen
