"type","latitude","longitude","city","province","region"
"pit",50.872546,4.69973,"Leuven","Antwerp","Flanders"
"pit",51.1870839,5.11425,"Mol","Antwerp","Flanders"
"pit",51.1040179,3.9895048,"Lokeren","East Flanders","Flanders"
"pit",50.9097128,4.1955184,"Asse","Flemish Brabant","Flanders"
"pit",51.2201147,3.1934588,"Brugge","West Flanders","Flanders"
"pit",51.0618304,3.721311,"Gent","West Flanders","Flanders"
"pit",51.3080014,3.1247034,"Blankenberge","West Flanders","Flanders"
"pit",50.9570769,5.5180371,"Genk","Limburg","Flanders"
"pit",50.8797737,4.6756415,"Leuven","Flemish Brabant","Flanders"
"pit",50.8305816,4.3899848,"Etterbeek","Brussels","Brussels"
"pit",50.8343389,4.3471366,"Bruxelles","Brussels","Brussels"
"pit",50.8878137,4.308604,"Jette","Brussels","Brussels"
"pit",50.4174263,4.4811755,"Charleroi","Hainaut","Wallonia"
"pit",50.4575635,3.9630702,"Mons","Hainaut","Wallonia"
"pit",50.4674355,4.8874258,"Namur","Namur","Wallonia"
"pit",50.6747785,5.6334453,"Herstal","Liege","Wallonia"
"pit",50.6519752,5.5769394,"Liège","Liege","Wallonia"
"pit",50.5911266,5.8666876,"Verviers","Liege","Wallonia"
"pit",50.4261165,6.023917,"Malmedy","Liege","Wallonia"
"pit",49.5530357,5.5261006,"Virton","Luxembourg","Wallonia"
"pit",50.0688226,5.5172999,"Sainte-Ode","Luxembourg","Wallonia"
"mug",51.2313796,4.415252,"Antwerpen","Antwerp","Flanders"
"mug",51.2058377,4.4125436,"Antwerpen","Antwerp","Flanders"
"mug",51.2063667,4.4702018,"Antwerpen","Antwerp","Flanders"
"mug",51.1817753,4.4212415,"Antwerpen","Antwerp","Flanders"
"mug",51.1744316,4.4179022,"Antwerpen","Antwerp","Flanders"
"mug",51.2583231,4.451958,"Antwerpen","Antwerp","Flanders"
"mug",51.2978326,4.4883638,"Brasschaat","Antwerp","Flanders"
"mug",51.1569532,4.4115492,"Edegem","Antwerp","Flanders"
"mug",51.1849567,4.8360031,"Herentals","Antwerp","Flanders"
