"type","public","latitude","longitude","city","province","region"
"unknown",NA,50.8397659,4.3655302,"Bruxelles","Brussels","Brussels"
"unknown",NA,50.8397659,4.3655302,"Bruxelles","Brussels","Brussels"
"unknown",NA,50.8397659,4.3655302,"Bruxelles","Brussels","Brussels"
"unknown",NA,50.8397659,4.3655302,"Bruxelles","Brussels","Brussels"
"unknown",NA,50.835752,4.4008563,"Bruxelles","Brussels","Brussels"
"unknown",NA,50.835752,4.4008563,"Bruxelles","Brussels","Brussels"
"unknown",NA,50.835752,4.4008563,"Bruxelles","Brussels","Brussels"
"unknown",NA,50.835752,4.4008563,"Bruxelles","Brussels","Brussels"
"unknown",NA,50.835752,4.4008563,"Bruxelles","Brussels","Brussels"
"unknown",NA,50.835752,4.4008563,"Bruxelles","Brussels","Brussels"
"unknown",NA,50.6613841,4.6311505,"Louvain-la-Neuve","Walloon Brabant","Wallonia"
"unknown",NA,51.2239046,5.4953897,"Neerpelt","Limburg","Flanders"
"unknown",NA,51.2268312,5.4362561,"Neerpelt","Limburg","Flanders"
"unknown",NA,51.134245,2.7667891,"Nieuwpoort","West Flanders","Flanders"
"unknown",NA,50.6672518,5.4756162,"Awans","Liege","Wallonia"
"unknown",NA,50.4793393,4.3051734,"Gouy-lez-Piéton","Hainaut","Wallonia"
"unknown",NA,50.6526022,4.6267104,"Mont-Saint-Guibert","Walloon Brabant","Wallonia"
"unknown",NA,50.6498271,4.6189209,"Mont-Saint-Guibert","Walloon Brabant","Wallonia"
"unknown",NA,50.6498891,4.6069359,"Mont-Saint-Guibert","Walloon Brabant","Wallonia"
"unknown",NA,50.616258,5.5220944,"Seraing","Liege","Wallonia"
"unknown",NA,50.616258,5.5220944,"Seraing","Liege","Wallonia"
"unknown",NA,50.6550743,5.5988442,"Liège","Liege","Wallonia"
"unknown",NA,50.6550743,5.5988442,"Liège","Liege","Wallonia"
"unknown",1,50.6647533,5.6307249,"Herstal","Liege","Wallonia"
"unknown",1,50.6647533,5.6307249,"Herstal","Liege","Wallonia"
"unknown",1,50.6649451,5.6341675,"Herstal","Liege","Wallonia"
"unknown",1,50.6898284,5.618391,"Herstal","Liege","Wallonia"
"unknown",NA,50.86796,4.953367,"Glabbeek","Flemish Brabant","Flanders"
"unknown",NA,50.6907849,4.6185441,"Wavre","Walloon Brabant","Wallonia"
"unknown",NA,50.6683486,5.5367024,"Alleur","Liege","Wallonia"
"unknown",NA,51.2471112,4.4177207,"Antwerpen","Antwerp","Flanders"
"unknown",NA,50.6684584,5.6519408,"Liège","Liege","Wallonia"
"unknown",NA,51.0552411,4.4493248,"Mechelen","Antwerp","Flanders"
"unknown",NA,51.0579587,4.4537809,"Mechelen","Antwerp","Flanders"
"unknown",NA,50.7981554,3.1141421,"Menen","West Flanders","Flanders"
"unknown",NA,50.7764538,4.3276731,"Linkebeek","Flemish Brabant","Flanders"
"unknown",NA,50.7718363,4.3327879,"Linkebeek","Flemish Brabant","Flanders"
"unknown",NA,50.6924058,4.8919667,"Huppaye","Walloon Brabant","Wallonia"
"fix",0,51.3162828,4.335163,"Antwerpen","Antwerp","Flanders"
"unknown",NA,49.9856911,5.2558713,"Libin","Luxembourg","Wallonia"
"unknown",NA,50.4123641,4.4420015,"Charleroi","Hainaut","Wallonia"
"unknown",NA,50.3794819,4.4359107,"Marcinelle","Hainaut","Wallonia"
"unknown",NA,50.4201054,4.375305,"Monceau-sur-Sambre","Hainaut","Wallonia"
"unknown",NA,50.4086361,4.4749689,"Montignies-sur-Sambre","Hainaut","Wallonia"
"unknown",NA,50.3966649,4.4002421,"Mont-sur-Marchienne","Hainaut","Wallonia"
"unknown",NA,50.4219839,3.9462109,"Ciply","Hainaut","Wallonia"
"unknown",NA,50.4149459,4.4625604,"Montignies-sur-Sambre","Hainaut","Wallonia"
"unknown",NA,50.4161971,4.4651467,"Montignies-sur-Sambre","Hainaut","Wallonia"
"unknown",NA,50.8036167,4.3246989,"Bruxelles","Brussels","Brussels"
"unknown",NA,51.180449,4.893137,"Olen","Antwerp","Flanders"
"unknown",NA,51.180449,4.893137,"Olen","Antwerp","Flanders"
"unknown",NA,51.177797,4.8809732,"Olen","Antwerp","Flanders"
"unknown",NA,51.180449,4.893137,"Olen","Antwerp","Flanders"
"unknown",NA,51.180449,4.893137,"Olen","Antwerp","Flanders"
"unknown",NA,51.180449,4.893137,"Olen","Antwerp","Flanders"
"unknown",NA,50.9358799,4.5829911,"Kampenhout","Flemish Brabant","Flanders"
"unknown",NA,50.9821139,4.5721352,"Boortmeerbeek","Flemish Brabant","Flanders"
"unknown",NA,50.973334,4.5680824,"Boortmeerbeek","Flemish Brabant","Flanders"
"unknown",NA,51.2032689,4.7098432,"Pulle","Antwerp","Flanders"
"unknown",NA,51.219,4.69212,"Pulderbos","Antwerp","Flanders"
"unknown",NA,51.187566,4.6495818,"Viersel","Antwerp","Flanders"
"unknown",NA,51.1988554,4.634939,"Massenhoven","Antwerp","Flanders"
"unknown",NA,51.3349702,4.9203871,"Turnhout","Antwerp","Flanders"
"unknown",NA,50.9190023,3.6874247,"Dikkelvenne","East Flanders","Flanders"
"unknown",NA,50.9474376,3.6800197,"Vurste","East Flanders","Flanders"
"unknown",NA,50.3284162,4.3042942,"Thuin","Hainaut","Wallonia"
"unknown",NA,50.7387881,5.698725,"Visé","Liege","Wallonia"
"unknown",NA,50.7379572,5.6831058,"Visé","Liege","Wallonia"
"unknown",NA,50.8505584,4.3641485,"Bruxelles","Brussels","Brussels"
"unknown",NA,50.5960827,4.3313093,"Nivelles","Walloon Brabant","Wallonia"
"unknown",NA,50.5960827,4.3313093,"Nivelles","Walloon Brabant","Wallonia"
"unknown",NA,50.8378884,4.3256499,"Bruxelles","Brussels","Brussels"
"unknown",NA,50.6191496,5.265371,"Faimes","Liege","Wallonia"
"unknown",NA,50.7291088,4.5912001,"Wavre","Walloon Brabant","Wallonia"
"unknown",NA,50.7030034,5.7837243,"Eben-Emael","Liege","Wallonia"
"unknown",NA,50.6588505,5.6226872,"Herstal","Liege","Wallonia"
"unknown",NA,50.8188902,4.367415,"Bruxelles","Brussels","Brussels"
"unknown",NA,50.8378884,4.3256499,"Bruxelles","Brussels","Brussels"
